assets,risk,sharpe,cagr,hist_dd,trades,pf,mc_med_dd,mc_p_breach10,mc_p_breach10_2yr
btc+eth,0.35,1.221,11.75,-6.58,945,1.6,-6.3,5.64,0.84
btc+eth,0.5,1.218,16.84,-9.28,945,1.55,-8.9,32.300000000000004,8.02
btc+eth,0.6,1.217,20.24,-11.04,945,1.53,-10.6,59.34,17.080000000000002
btc+eth,0.75,1.214,25.35,-13.62,945,1.49,-13.1,88.08,36.86
btc+eth,1.0,1.211,33.88,-17.77,945,1.44,-17.1,99.56,69.74000000000001
