date,equity,ret
2018-01-11 08:00:00,50000.0,
2018-01-11 12:00:00,50000.0,0.0
2018-01-11 16:00:00,50000.0,0.0
2018-01-11 20:00:00,50000.0,0.0
2018-01-12 00:00:00,50000.0,0.0
2018-01-12 04:00:00,50000.0,0.0
2018-01-12 08:00:00,50000.0,0.0
2018-01-12 12:00:00,50000.0,0.0
2018-01-12 16:00:00,50000.0,0.0
2018-01-12 20:00:00,50000.0,0.0
2018-01-13 00:00:00,50000.0,0.0
2018-01-13 04:00:00,50000.0,0.0
2018-01-13 08:00:00,50000.0,0.0
2018-01-13 12:00:00,50000.0,0.0
2018-01-13 16:00:00,50000.0,0.0
2018-01-13 20:00:00,50000.0,0.0
2018-01-14 00:00:00,50000.0,0.0
2018-01-14 04:00:00,50000.0,0.0
2018-01-14 08:00:00,50000.0,0.0
2018-01-14 12:00:00,50000.0,0.0
2018-01-14 16:00:00,50000.0,0.0
2018-01-14 20:00:00,50000.0,0.0
2018-01-15 00:00:00,50000.0,0.0
2018-01-15 04:00:00,50000.0,0.0
2018-01-15 08:00:00,50000.0,0.0
2018-01-15 12:00:00,50000.0,0.0
2018-01-15 16:00:00,50000.0,0.0
2018-01-15 20:00:00,50000.0,0.0
2018-01-16 00:00:00,50000.0,0.0
2018-01-16 04:00:00,50000.0,0.0
2018-01-16 08:00:00,49997.73355087738,-4.532898245235284e-05
2018-01-16 12:00:00,49997.73355087738,0.0
2018-01-16 16:00:00,49997.73355087738,0.0
2018-01-16 20:00:00,49997.73355087738,0.0
2018-01-17 00:00:00,49997.73355087738,0.0
2018-01-17 04:00:00,49997.73355087738,0.0
2018-01-17 08:00:00,49997.73355087738,0.0
2018-01-17 12:00:00,49997.73355087738,0.0
2018-01-17 16:00:00,49997.73355087738,0.0
2018-01-17 20:00:00,49997.73355087738,0.0
2018-01-18 00:00:00,49997.73355087738,0.0
2018-01-18 04:00:00,49997.73355087738,0.0
2018-01-18 08:00:00,49997.73355087738,0.0
2018-01-18 12:00:00,50222.263240630884,0.004490797358344567
2018-01-18 16:00:00,50222.263240630884,0.0
2018-01-18 20:00:00,50222.263240630884,0.0
2018-01-19 00:00:00,50222.263240630884,0.0
2018-01-19 04:00:00,50222.263240630884,0.0
2018-01-19 08:00:00,50222.263240630884,0.0
2018-01-19 12:00:00,50222.263240630884,0.0
2018-01-19 16:00:00,50222.263240630884,0.0
2018-01-19 20:00:00,50222.263240630884,0.0
2018-01-20 00:00:00,50222.263240630884,0.0
2018-01-20 04:00:00,50222.263240630884,0.0
2018-01-20 08:00:00,50222.263240630884,0.0
2018-01-20 12:00:00,50222.263240630884,0.0
2018-01-20 16:00:00,50222.263240630884,0.0
2018-01-20 20:00:00,50221.06894640078,-2.378017542503663e-05
2018-01-21 00:00:00,50221.06894640078,0.0
2018-01-21 04:00:00,50221.06894640078,0.0
2018-01-21 08:00:00,50221.06894640078,0.0
2018-01-21 12:00:00,50221.06894640078,0.0
2018-01-21 16:00:00,49968.91400275725,-0.005020899573297544
2018-01-21 20:00:00,49968.91400275725,0.0
2018-01-22 00:00:00,49968.91400275725,0.0
2018-01-22 04:00:00,49968.91400275725,0.0
2018-01-22 08:00:00,49968.91400275725,0.0
2018-01-22 12:00:00,49968.91400275725,0.0
2018-01-22 16:00:00,49966.58877473408,-4.653349126293449e-05
2018-01-22 20:00:00,49966.58877473408,0.0
2018-01-23 00:00:00,49966.58877473408,0.0
2018-01-23 04:00:00,49966.58877473408,0.0
2018-01-23 08:00:00,49966.58877473408,0.0
2018-01-23 12:00:00,49966.58877473408,0.0
2018-01-23 16:00:00,49966.58877473408,0.0
2018-01-23 20:00:00,49966.58877473408,0.0
2018-01-24 00:00:00,49966.58877473408,0.0
2018-01-24 04:00:00,49966.58877473408,0.0
2018-01-24 08:00:00,49966.58877473408,0.0
2018-01-24 12:00:00,49966.58877473408,0.0
2018-01-24 16:00:00,49966.58877473408,0.0
2018-01-24 20:00:00,49966.58877473408,0.0
2018-01-25 00:00:00,49500.89619921293,-0.0093200794158802
2018-01-25 04:00:00,49500.89619921293,0.0
2018-01-25 08:00:00,49500.89619921293,0.0
2018-01-25 12:00:00,49500.89619921293,0.0
2018-01-25 16:00:00,49500.89619921293,0.0
2018-01-25 20:00:00,49500.89619921293,0.0
2018-01-26 00:00:00,49500.89619921293,0.0
2018-01-26 04:00:00,49500.89619921293,0.0
2018-01-26 08:00:00,49500.89619921293,0.0
2018-01-26 12:00:00,49500.89619921293,0.0
2018-01-26 16:00:00,49500.89619921293,0.0
2018-01-26 20:00:00,49500.89619921293,0.0
2018-01-27 00:00:00,49500.89619921293,0.0
2018-01-27 04:00:00,49500.89619921293,0.0
2018-01-27 08:00:00,49500.89619921293,0.0
2018-01-27 12:00:00,49500.89619921293,0.0
2018-01-27 16:00:00,49500.89619921293,0.0
2018-01-27 20:00:00,49500.89619921293,0.0
2018-01-28 00:00:00,49498.88075566509,-4.071529411764363e-05
2018-01-28 04:00:00,49498.88075566509,0.0
2018-01-28 08:00:00,49497.24703618832,-3.300518015425524e-05
2018-01-28 12:00:00,49497.24703618832,0.0
2018-01-28 16:00:00,49497.24703618832,0.0
2018-01-28 20:00:00,49497.24703618832,0.0
2018-01-29 00:00:00,49497.24703618832,0.0
2018-01-29 04:00:00,49497.24703618832,0.0
2018-01-29 08:00:00,49497.24703618832,0.0
2018-01-29 12:00:00,49497.24703618832,0.0
2018-01-29 16:00:00,49497.24703618832,0.0
2018-01-29 20:00:00,49497.24703618832,0.0
2018-01-30 00:00:00,49388.18271241071,-0.0022034422176625545
2018-01-30 04:00:00,49388.18271241071,0.0
2018-01-30 08:00:00,49388.18271241071,0.0
2018-01-30 12:00:00,49388.18271241071,0.0
2018-01-30 16:00:00,49387.06365394925,-2.2658425558486073e-05
2018-01-30 20:00:00,49387.06365394925,0.0
2018-01-31 00:00:00,49387.06365394925,0.0
2018-01-31 04:00:00,49387.06365394925,0.0
