date,open,high,low,close,adjclose,volume
2021-06-01,136.3300018310547,136.9499969482422,135.17999267578125,135.77000427246094,131.2312469482422,728100
2021-06-02,135.60000610351562,136.86000061035156,135.05999755859375,135.8699951171875,131.32786560058594,1205900
2021-06-03,135.2100067138672,137.57000732421875,134.67999267578125,136.8300018310547,132.2558135986328,1094400
2021-06-04,137.33999633789062,137.94000244140625,136.89999389648438,137.6999969482422,133.0966796875,999700
2021-06-07,138.05999755859375,138.10000610351562,135.80999755859375,136.67999267578125,132.1107940673828,724300
2021-06-08,136.99000549316406,137.39999389648438,135.74000549316406,136.7100067138672,132.1398468017578,584500
2021-06-09,136.42999267578125,136.4499969482422,135.41000366210938,135.7100067138672,131.17324829101562,567700
2021-06-10,136.27000427246094,137.0,135.5,136.35000610351562,131.7918243408203,718100
2021-06-11,137.0,137.41000366210938,135.57000732421875,135.86000061035156,131.5111083984375,673100
2021-06-14,135.4600067138672,136.25999450683594,134.83999633789062,136.17999267578125,131.82086181640625,553600
2021-06-15,136.2100067138672,137.5399932861328,135.57000732421875,137.16000366210938,132.76951599121094,548200
2021-06-16,137.16000366210938,137.6199951171875,135.33999633789062,135.39999389648438,131.06582641601562,720900
2021-06-17,135.82000732421875,136.1199951171875,132.97000122070312,133.99000549316406,129.70098876953125,870300
2021-06-18,132.11000061035156,133.0,130.57000732421875,130.64999389648438,126.46791076660156,1545100
2021-06-21,132.07000732421875,133.91000366210938,131.55999755859375,133.72000122070312,129.43963623046875,779200
2021-06-22,133.86000061035156,134.24000549316406,133.11000061035156,133.6199951171875,129.3428497314453,662800
2021-06-23,133.97000122070312,134.19000244140625,132.86000061035156,133.27999877929688,129.01370239257812,594800
2021-06-24,134.0399932861328,134.25999450683594,132.83999633789062,133.6300048828125,129.35252380371094,758500
2021-06-25,133.72000122070312,134.50999450683594,133.61000061035156,133.64999389648438,129.37188720703125,1042300
2021-06-28,133.80999755859375,133.91000366210938,132.2100067138672,133.22999572753906,128.96530151367188,1307900
2021-06-29,133.77000427246094,134.5399932861328,132.85000610351562,132.97999572753906,128.7233123779297,648600
2021-06-30,132.77999877929688,133.6999969482422,132.61000061035156,133.5,129.22666931152344,709300
2021-07-01,134.3800048828125,134.69000244140625,133.47999572753906,133.94000244140625,129.65260314941406,607800
2021-07-02,133.9600067138672,135.1699981689453,133.52999877929688,134.94000244140625,130.62059020996094,775800
2021-07-06,134.5399932861328,134.72000122070312,131.57000732421875,133.0,128.74267578125,1240000
2021-07-07,132.8699951171875,135.57000732421875,132.60000610351562,135.27999877929688,130.9496307373047,980600
2021-07-08,133.10000610351562,134.2899932861328,131.6699981689453,133.02999877929688,128.771728515625,900900
2021-07-09,134.77000427246094,135.9600067138672,134.4499969482422,135.47000122070312,131.1335906982422,912300
2021-07-12,134.5800018310547,136.69000244140625,134.1199951171875,136.3000030517578,131.93710327148438,1111300
2021-07-13,135.8300018310547,136.27000427246094,134.72000122070312,135.00999450683594,130.6883544921875,722500
2021-07-14,135.4600067138672,135.7100067138672,134.0399932861328,134.82000732421875,130.50440979003906,1089900
2021-07-15,134.0,136.10000610351562,134.0,135.72999572753906,131.38528442382812,876600
2021-07-16,136.0399932861328,137.1999969482422,135.39999389648438,136.22999572753906,131.86924743652344,2951000
2021-07-19,134.47999572753906,134.47999572753906,131.6300048828125,133.05999755859375,128.80076599121094,1268800
2021-07-20,133.6300048828125,137.3000030517578,133.19000244140625,136.72999572753906,132.35324096679688,1064800
2021-07-21,137.5,137.88999938964844,136.60000610351562,137.02000427246094,132.6339569091797,764000
2021-07-22,137.25,137.58999633789062,135.92999267578125,137.1699981689453,132.77919006347656,758600
2021-07-23,137.99000549316406,138.1300048828125,136.69000244140625,137.8300018310547,133.4180450439453,682700
2021-07-26,137.57000732421875,138.3800048828125,136.75,137.25,132.8566131591797,727700
2021-07-27,136.5800018310547,137.83999633789062,135.63999938964844,137.02999877929688,132.64364624023438,636700
2021-07-28,137.3000030517578,137.77999877929688,135.92999267578125,136.8699951171875,132.48878479003906,467200
2021-07-29,138.1199951171875,138.83999633789062,137.4199981689453,138.60000610351562,134.1634063720703,544200
2021-07-30,138.55999755859375,139.69000244140625,138.38999938964844,139.0500030517578,134.5990447998047,945600
2021-08-02,139.39999389648438,140.10000610351562,137.92999267578125,138.22999572753906,133.8052520751953,1013200
2021-08-03,137.8800048828125,139.8000030517578,137.00999450683594,138.77000427246094,134.3280029296875,928800
2021-08-04,139.13999938964844,139.72000122070312,136.42999267578125,136.72000122070312,132.34356689453125,1085300
2021-08-05,137.47000122070312,137.80999755859375,136.10000610351562,136.89999389648438,132.517822265625,885800
2021-08-06,137.88999938964844,138.0399932861328,136.13999938964844,136.82000732421875,132.44041442871094,1174200
2021-08-09,136.9199981689453,136.9199981689453,135.8000030517578,136.0500030517578,131.69503784179688,694700
