date,open,high,low,close,adjclose,volume
2021-06-01,190.0,191.85000610351562,184.9199981689453,185.5399932861328,178.46005249023438,363200
2021-06-02,185.5,187.47999572753906,183.47000122070312,186.3699951171875,179.25836181640625,313000
2021-06-03,183.58999633789062,184.44000244140625,181.05999755859375,181.72999572753906,174.79542541503906,255100
2021-06-04,184.0,186.8300018310547,182.5500030517578,186.4499969482422,179.33531188964844,240100
2021-06-07,185.75,186.4199981689453,182.6199951171875,183.0,176.01698303222656,215900
2021-06-08,184.61000061035156,184.61000061035156,178.88999938964844,179.5800018310547,172.72743225097656,273200
2021-06-09,179.9499969482422,181.44000244140625,178.00999450683594,178.5399932861328,171.72715759277344,238500
2021-06-10,179.50999450683594,182.11000061035156,176.80999755859375,181.33999633789062,174.42031860351562,324600
2021-06-11,177.0,178.0,173.75,177.55999755859375,170.7845458984375,462200
2021-06-14,177.3300018310547,181.63999938964844,177.1999969482422,180.75999450683594,173.86239624023438,269900
2021-06-15,180.41000366210938,181.47999572753906,177.5,178.02000427246094,171.2270050048828,167100
2021-06-16,178.8800048828125,178.9499969482422,175.47000122070312,176.55999755859375,169.8227081298828,242700
2021-06-17,175.6999969482422,177.72000122070312,171.36000061035156,175.3800048828125,168.68772888183594,384000
2021-06-18,172.8000030517578,172.9199981689453,166.7899932861328,168.41000366210938,161.98370361328125,529400
2021-06-21,169.00999450683594,171.22000122070312,167.3699951171875,169.67999267578125,163.20521545410156,403200
2021-06-22,168.8699951171875,171.2899932861328,167.36000061035156,169.63999938964844,163.16676330566406,349200
2021-06-23,170.8000030517578,172.7100067138672,169.75,170.27999877929688,163.7823486328125,332900
2021-06-24,172.44000244140625,173.88999938964844,171.36000061035156,173.55999755859375,166.93714904785156,296200
2021-06-25,173.47000122070312,176.24000549316406,172.24000549316406,173.2899932861328,166.67747497558594,513100
2021-06-28,174.83999633789062,177.83999633789062,174.0399932861328,176.89999389648438,170.14971923828125,258900
2021-06-29,176.69000244140625,178.5500030517578,176.36000061035156,178.3300018310547,171.52517700195312,219600
2021-06-30,177.99000549316406,178.4600067138672,175.66000366210938,177.9499969482422,171.15965270996094,217600
2021-07-01,172.66000366210938,172.66000366210938,166.99000549316406,170.77000427246094,164.253662109375,1038600
2021-07-02,175.00999450683594,175.00999450683594,167.25999450683594,168.52000427246094,162.0895233154297,507100
2021-07-06,170.4499969482422,170.89999389648438,165.47000122070312,168.27000427246094,161.8490753173828,564100
2021-07-07,169.05999755859375,170.6300048828125,162.91000366210938,165.0,158.7038116455078,528700
2021-07-08,161.35000610351562,164.2100067138672,158.1699981689453,161.47999572753906,155.31813049316406,400900
2021-07-09,162.77999877929688,166.19000244140625,160.89999389648438,165.42999267578125,159.11740112304688,454300
2021-07-12,165.0399932861328,166.0500030517578,163.4499969482422,165.52000427246094,159.20394897460938,451700
2021-07-13,164.27999877929688,165.13999938964844,162.25999450683594,164.19000244140625,157.92477416992188,463200
2021-07-14,165.5,167.60000610351562,163.57000732421875,164.02000427246094,157.76119995117188,527400
2021-07-15,163.33999633789062,164.52000427246094,160.3000030517578,161.82000732421875,155.64517211914062,517100
2021-07-16,163.19000244140625,163.8000030517578,157.08999633789062,157.58999633789062,151.57655334472656,470300
2021-07-19,154.97999572753906,155.57000732421875,152.3300018310547,154.22000122070312,148.33518981933594,369700
2021-07-20,154.7899932861328,160.97999572753906,154.05999755859375,160.5500030517578,154.4236602783203,798800
2021-07-21,161.72000122070312,165.6999969482422,161.3300018310547,165.30999755859375,159.0019989013672,522300
2021-07-22,164.58999633789062,165.77000427246094,161.36000061035156,162.75,156.53968811035156,331800
2021-07-23,164.50999450683594,165.91000366210938,162.5,165.11000061035156,158.80960083007812,281300
2021-07-26,164.85000610351562,166.0,161.6199951171875,162.5500030517578,156.34732055664062,609500
2021-07-27,161.0800018310547,162.67999267578125,154.77999877929688,156.6199951171875,150.6436004638672,1349200
2021-07-28,157.25,161.83999633789062,156.8699951171875,160.10000610351562,153.9907989501953,627900
2021-07-29,155.11000061035156,157.0,151.0,154.80999755859375,148.9026641845703,1079900
2021-07-30,153.25999450683594,159.35000610351562,153.00999450683594,156.44000244140625,150.470458984375,575100
2021-08-02,158.13999938964844,160.83999633789062,156.39999389648438,156.4199981689453,150.4512481689453,508000
2021-08-03,157.41000366210938,157.41000366210938,153.44000244140625,155.7899932861328,149.84524536132812,322200
2021-08-04,157.0399932861328,158.27000427246094,154.41000366210938,155.97000122070312,150.01837158203125,404100
2021-08-05,157.1199951171875,157.3000030517578,152.35000610351562,154.74000549316406,148.8353271484375,517500
2021-08-06,153.82000732421875,157.83999633789062,153.82000732421875,156.8699951171875,150.88406372070312,472600
2021-08-09,157.44000244140625,157.44000244140625,154.74000549316406,154.83999633789062,148.93148803710938,224200
2021-08-10,154.74000549316406,155.32000732421875,150.5,151.57000732421875,145.7863311767578,563700
2021-08-11,152.1999969482422,152.6999969482422,150.02000427246094,151.66000366210938,145.87283325195312,345500
2021-08-12,150.25,151.3000030517578,145.3800048828125,146.86000061035156,141.25601196289062,544800
2021-08-13,146.69000244140625,147.24000549316406,145.5399932861328,146.16000366210938,140.58273315429688,290900
2021-08-16,145.7899932861328,147.72999572753906,145.50999450683594,147.38999938964844,141.7658233642578,268500
2021-08-17,145.91000366210938,145.91000366210938,141.92999267578125,142.49000549316406,137.05276489257812,597200
2021-08-18,142.72000122070312,145.17999267578125,141.05999755859375,141.2100067138672,135.8216094970703,237600
2021-08-19,140.0,141.25,138.6999969482422,140.4199981689453,135.061767578125,404300
2021-08-20,141.3300018310547,142.99000549316406,139.2100067138672,140.8300018310547,135.45614624023438,205300
2021-08-23,141.3800048828125,144.0399932861328,141.10000610351562,143.6300048828125,138.1492919921875,416100
2021-08-24,144.8800048828125,146.47999572753906,143.9199981689453,144.75,139.2265167236328,203500
2021-08-25,144.58999633789062,146.14999389648438,143.63999938964844,143.9600067138672,138.46676635742188,333000
2021-08-26,143.5,144.9600067138672,142.63999938964844,144.22999572753906,138.72633361816406,472300
2021-08-27,145.1300048828125,150.75,145.1199951171875,150.27999877929688,144.76629638671875,428800
2021-08-30,151.22999572753906,151.61000061035156,148.10000610351562,149.47999572753906,143.99569702148438,225300
2021-08-31,150.02999877929688,150.02999877929688,146.97999572753906,147.17999267578125,141.78004455566406,426400
2021-09-01,148.10000610351562,149.30999755859375,144.64999389648438,145.0399932861328,139.7185821533203,620000
2021-09-02,146.05999755859375,147.7100067138672,145.36000061035156,147.24000549316406,141.83790588378906,546200
2021-09-03,147.67999267578125,149.0,147.02000427246094,148.50999450683594,143.06124877929688,241600
2021-09-07,149.10000610351562,149.75999450683594,147.0800018310547,149.4499969482422,143.96676635742188,354600
2021-09-08,149.0800018310547,149.35000610351562,144.86000061035156,146.13999938964844,140.77822875976562,348600
2021-09-09,146.14999389648438,149.50999450683594,145.82000732421875,148.50999450683594,143.06124877929688,191200
2021-09-10,149.6300048828125,152.11000061035156,148.4199981689453,148.4199981689453,142.97457885742188,298000
2021-09-13,150.72999572753906,151.80999755859375,148.50999450683594,150.5500030517578,145.0264434814453,248100
2021-09-14,150.6699981689453,152.42999267578125,149.8699951171875,151.25999450683594,145.7103729248047,317400
2021-09-15,151.30999755859375,151.50999450683594,148.80999755859375,151.24000549316406,145.69110107421875,334400
2021-09-16,150.22999572753906,152.35000610351562,149.22999572753906,150.5,144.978271484375,326900
2021-09-17,150.2100067138672,150.5500030517578,148.0,149.47000122070312,143.98605346679688,971500
2021-09-20,146.72000122070312,147.97999572753906,144.19000244140625,147.17999267578125,141.78004455566406,403000
2021-09-21,148.1300048828125,150.99000549316406,145.2100067138672,149.22999572753906,143.75489807128906,505000
2021-09-22,150.1999969482422,151.38999938964844,148.9199981689453,150.35000610351562,144.8337860107422,462200
2021-09-23,151.07000732421875,153.89999389648438,150.82000732421875,153.25999450683594,147.63702392578125,335200
2021-09-24,151.72000122070312,154.39999389648438,151.72000122070312,153.35000610351562,147.72373962402344,238000
2021-09-27,152.75,155.30999755859375,152.50999450683594,154.72000122070312,149.04345703125,194000
2021-09-28,152.3000030517578,154.00999450683594,150.5,150.92999267578125,145.3924560546875,775000
2021-09-29,152.00999450683594,152.7100067138672,148.64999389648438,150.5500030517578,145.0264434814453,509600
2021-09-30,151.74000549316406,153.5500030517578,150.0,150.91000366210938,145.37319946289062,487500
2021-10-01,151.52000427246094,151.99000549316406,146.83999633789062,149.6999969482422,144.20761108398438,539300
2021-10-04,149.4199981689453,149.4199981689453,144.58999633789062,145.27999877929688,139.9497833251953,386500
2021-10-05,146.05999755859375,147.44000244140625,144.4499969482422,144.50999450683594,139.20799255371094,394000
2021-10-06,143.22000122070312,144.17999267578125,140.8699951171875,142.77999877929688,137.54150390625,439300
2021-10-07,145.60000610351562,147.0,144.77999877929688,145.39999389648438,140.06539916992188,537700
2021-10-08,146.0500030517578,146.0500030517578,142.60000610351562,142.6699981689453,137.43557739257812,243000
2021-10-11,141.7899932861328,145.0,141.7899932861328,143.07000732421875,137.82089233398438,276900
2021-10-12,144.6699981689453,146.00999450683594,143.35000610351562,144.3800048828125,139.08282470703125,451400
2021-10-13,143.94000244140625,145.72999572753906,141.72999572753906,141.9199981689453,136.71307373046875,285500
2021-10-14,144.6999969482422,145.9600067138672,143.55999755859375,145.22999572753906,139.90162658691406,549100
2021-10-15,145.14999389648438,146.97000122070312,144.52000427246094,144.6699981689453,139.3621368408203,356700
2021-10-18,143.3000030517578,144.60000610351562,142.5,144.25999450683594,138.9672088623047,355900
2021-10-19,145.5,146.4600067138672,144.2100067138672,145.2899932861328,139.9593963623047,289200
2021-10-20,145.75,146.3800048828125,143.92999267578125,145.60000610351562,140.25802612304688,459500
2021-10-21,144.25,145.75,143.38999938964844,145.38999938964844,140.05575561523438,310100
2021-10-22,146.16000366210938,149.75,144.44000244140625,144.72000122070312,139.41030883789062,322500
2021-10-25,144.8699951171875,146.5399932861328,144.35000610351562,145.52999877929688,140.1905975341797,237500
2021-10-26,147.5800018310547,147.5800018310547,142.5,142.57000732421875,137.33924865722656,395100
2021-10-27,142.69000244140625,144.60000610351562,142.08999633789062,142.89999389648438,137.65707397460938,536100
2021-10-28,145.14999389648438,145.80999755859375,141.35000610351562,145.74000549316406,140.39291381835938,755600
