Date,BTC-USD,IBIT,FBTC,ARKB,BITB,ETHA,MSTR,ETH-USD,SOL-USD,SPY,TLT
2024-07-23,65927.671875,37.34000015258789,57.310001373291016,21.836666107177734,35.72999954223633,26.239999771118164,172.177001953125,3481.995849609375,172.757568359375,540.973388671875,84.5142822265625
2024-07-24,65372.1328125,37.41999816894531,57.40999984741211,21.873332977294922,35.779998779296875,25.5,167.2689971923828,3336.33935546875,178.0323028564453,528.7135620117188,83.60078430175781
2024-07-25,65777.2265625,36.83000183105469,56.540000915527344,21.540000915527344,35.25,23.700000762939453,160.64700317382812,3174.42724609375,171.96307373046875,525.958740234375,84.28589630126953
2024-07-26,67912.0625,38.790000915527344,59.52000045776367,22.68000030517578,37.11000061035156,24.8700008392334,175.27099609375,3275.951416015625,183.13671875,531.8492431640625,84.9435806274414
2024-07-29,66819.9140625,38.34000015258789,58.849998474121094,22.42333221435547,36.66999816894531,25.1200008392334,168.48500061035156,3320.539306640625,182.7805938720703,532.1619262695312,85.40032958984375
2024-07-30,66201.015625,37.54999923706055,57.630001068115234,21.946666717529297,35.91999816894531,24.81999969482422,160.40699768066406,3278.667724609375,179.10719299316406,529.4657592773438,85.72917938232422
2024-07-31,64619.25,37.18000030517578,57.060001373291016,21.72333335876465,35.54999923706055,24.790000915527344,161.44400024414062,3231.295654296875,171.82615661621094,538.0719604492188,86.60613250732422
2024-08-01,65357.5,36.06999969482422,55.349998474121094,21.066667556762695,34.5099983215332,23.75,151.18099975585938,3201.564453125,167.672119140625,530.4523315429688,87.35307312011719
2024-08-02,61415.06640625,35.61000061035156,54.68000030517578,20.82666778564453,34.060001373291016,22.84000015258789,144.7989959716797,2986.01318359375,152.6382293701172,520.576171875,90.07513427734375
2024-08-05,53991.45703125,30.479999542236328,46.79999923706055,17.81333351135254,29.149999618530273,18.25,130.89999389648438,2417.206298828125,129.8643035888672,505.4151306152344,90.5517349243164
2024-08-06,56034.31640625,32.34000015258789,49.68000030517578,18.90333366394043,30.93000030517578,18.920000076293945,136.92100524902344,2458.723876953125,144.09036254882812,510.0747985839844,88.5262222290039
2024-08-07,55027.4609375,31.190000534057617,47.880001068115234,18.226667404174805,29.829999923706055,17.84000015258789,124.68499755859375,2336.58935546875,144.63209533691406,506.6654968261719,87.90298461914062
2024-08-08,61710.13671875,33.880001068115234,52.0099983215332,19.793333053588867,32.38999938964844,19.549999237060547,135.99000549316406,2683.352783203125,162.9307403564453,518.3782348632812,87.36226654052734
2024-08-09,60880.11328125,34.599998474121094,53.099998474121094,20.239999771118164,33.06999969482422,19.670000076293945,135.3699951171875,2599.5986328125,156.45721435546875,520.6640014648438,88.22377014160156
2024-08-12,59354.515625,33.63999938964844,51.65999984741211,19.65999984741211,32.15999984741211,20.190000534057617,131.4600067138672,2724.431884765625,146.45423889160156,520.9376831054688,88.5445556640625
2024-08-13,60609.56640625,34.63999938964844,53.2400016784668,20.273332595825195,33.18000030517578,20.579999923706055,135.3800048828125,2703.671875,146.7126922607422,529.5048828125,89.1585922241211
2024-08-14,58737.26953125,33.560001373291016,51.52000045776367,19.6200008392334,32.099998474121094,20.25,130.3699951171875,2662.914794921875,143.9234619140625,531.1751708984375,89.71766662597656
2024-08-15,57560.09765625,32.5,49.880001068115234,19.00666618347168,31.09000015258789,19.350000381469727,131.92999267578125,2570.087646484375,142.74581909179688,540.2797241210938,88.99362182617188
2024-08-16,58894.10546875,34.029998779296875,52.2400016784668,19.899999618530273,32.529998779296875,19.889999389648438,133.0399932861328,2593.1865234375,139.33056640625,541.4910888671875,89.30525970458984
2024-08-19,59493.453125,33.619998931884766,51.599998474121094,19.643333435058594,32.15999984741211,19.790000915527344,135.35000610351562,2637.306396484375,144.34368896484375,546.6683959960938,89.71766662597656
2024-08-20,59012.79296875,33.91999816894531,52.08000183105469,19.833332061767578,32.43000030517578,19.729999542236328,133.69000244140625,2573.10693359375,143.16773986816406,545.7794799804688,90.43256378173828
2024-08-21,61175.19140625,35.130001068115234,53.880001068115234,20.549999237060547,33.58000183105469,20.079999923706055,141.4199981689453,2631.3955078125,142.70960998535156,547.6550903320312,90.487548828125
2024-08-22,60381.9140625,34.349998474121094,52.7400016784668,20.079999923706055,32.86000061035156,19.760000228881836,133.80999755859375,2622.951416015625,143.2579345703125,543.35693359375,89.58936309814453
2024-08-23,64094.35546875,36.279998779296875,55.72999954223633,21.219999313354492,34.709999084472656,20.860000610351562,150.00999450683594,2764.447021484375,153.10708618164062,549.1301879882812,90.17596435546875
2024-08-26,62880.66015625,36.09000015258789,55.40999984741211,21.09666633605957,34.5,20.329999923706055,146.89999389648438,2681.340576171875,157.23687744140625,547.8212890625,89.94681549072266
2024-08-27,59504.1328125,35.380001068115234,54.33000183105469,20.69333267211914,33.86000061035156,19.600000381469727,140.00999450683594,2458.7265625,146.8970947265625,548.5733642578125,89.791015625
2024-08-28,59027.625,33.52000045776367,51.470001220703125,19.610000610351562,32.08000183105469,19.0,132.08999633789062,2528.41552734375,143.89138793945312,545.3888549804688,89.68101501464844
2024-08-29,59388.1796875,33.689998626708984,51.790000915527344,19.739999771118164,32.2599983215332,19.15999984741211,132.55999755859375,2528.792724609375,140.0540313720703,545.4376220703125,89.38772583007812
2024-08-30,59119.4765625,33.369998931884766,51.22999954223633,19.543333053588867,31.950000762939453,19.010000228881836,132.4199981689453,2525.822021484375,138.09999084472656,550.6444091796875,88.4345474243164
2024-09-03,57431.0234375,32.97999954223633,50.70000076293945,19.316667556762695,31.610000610351562,18.540000915527344,122.31999969482422,2420.603759765625,127.57758331298828,539.3126831054688,89.88092041015625
