timestamp,date,funding_rate
1780272000000,2026-06-01 00:00,0.0000466943658692
1780300800000,2026-06-01 08:00,0.0000236646806892
1780329600000,2026-06-01 16:00,0.0001
1780358400000,2026-06-02 00:00,0.0001
1780387200000,2026-06-02 08:00,0.0001
1780416000000,2026-06-02 16:00,0.0001
1780444800000,2026-06-03 00:00,0.0000865678874748
1780473600000,2026-06-03 08:00,0.0000278658186139
1780502400000,2026-06-03 16:00,0.0001
1780531200000,2026-06-04 00:00,0.0000987113820589
1780560000000,2026-06-04 08:00,0.0000209870467977
1780588800000,2026-06-04 16:00,0.0000015995235891
1780617600000,2026-06-05 00:00,0.0000366527172313
1780646400000,2026-06-05 08:00,0.0000206005907985
1780675200000,2026-06-05 16:00,-0.0000495880636278
1780704000000,2026-06-06 00:00,-0.0000251353994586
1780732800000,2026-06-06 08:00,-0.0000337977745229
1780761600000,2026-06-06 16:00,0.0000052962402562
1780790400000,2026-06-07 00:00,-0.000012707252249
1780819200000,2026-06-07 08:00,-0.0000781048412537
1780848000000,2026-06-07 16:00,0.0000290588944828
1780876800000,2026-06-08 00:00,0.0000551876461949
1780905600000,2026-06-08 08:00,0.0000424550662021
1780934400000,2026-06-08 16:00,-0.0000755486509945
1780963200000,2026-06-09 00:00,-0.0000125192203038
1780992000000,2026-06-09 08:00,-0.0000076999774469
1781020800000,2026-06-09 16:00,0.000036350401157
1781049600000,2026-06-10 00:00,0.0000476144458983
1781078400000,2026-06-10 08:00,-0.0000159316750235
1781107200000,2026-06-10 16:00,-0.0000087786677452
1781136000000,2026-06-11 00:00,-0.0000434625906886
1781164800000,2026-06-11 08:00,-0.0000603239409731
1781193600000,2026-06-11 16:00,-0.0000239606392713
1781222400000,2026-06-12 00:00,-0.0000049527169637
1781251200000,2026-06-12 08:00,0.000013381574222
1781280000000,2026-06-12 16:00,-0.0000223589457138
1781308800000,2026-06-13 00:00,0.0000091148532304
1781337600000,2026-06-13 08:00,0.0000086943079192
1781366400000,2026-06-13 16:00,-0.0000639574741838
1781395200000,2026-06-14 00:00,-0.000031294023986
1781424000000,2026-06-14 08:00,-0.0000338984808092
1781452800000,2026-06-14 16:00,-0.0000759112940001
1781481600000,2026-06-15 00:00,-0.0000583460493709
1781510400000,2026-06-15 08:00,-0.0000689247750096
1781539200000,2026-06-15 16:00,-0.0000739035810096
1781568000000,2026-06-16 00:00,-0.0000130999107801
1781596800000,2026-06-16 08:00,-0.0000592277212018
1781625600000,2026-06-16 16:00,-0.0000108643309843
1781654400000,2026-06-17 00:00,0.0000359942934559
1781683200000,2026-06-17 08:00,-0.000024895073548
1781712000000,2026-06-17 16:00,-0.0000342401528489
1781740800000,2026-06-18 00:00,0.0000049965386896
