timestamp,date,open,high,low,close,volume
1515657600000,2018-01-11 08:00,1197.72,1202.84,1155.79,1197.86,3674.236454
1515672000000,2018-01-11 12:00,1198,1245,1182.15,1223.71,10520.972244
1515686400000,2018-01-11 16:00,1223.71,1247.96,1165,1178.01,9332.182282
1515700800000,2018-01-11 20:00,1178.01,1195.68,1110.13,1143.53,8345.682163
1515715200000,2018-01-12 00:00,1143.53,1219,1092.11,1214.63,12604.949124
1515729600000,2018-01-12 04:00,1215.11,1234.2,1188.91,1217.07,8706.640991
1515744000000,2018-01-12 08:00,1217.07,1226.29,1180.42,1219.87,8544.278227
1515758400000,2018-01-12 12:00,1219.87,1280.99,1209.46,1212.5,10114.056085
1515772800000,2018-01-12 16:00,1212.5,1249.99,1200.82,1245.99,12125.328506
1515787200000,2018-01-12 20:00,1245.99,1258.89,1232.98,1252.43,4594.744066
1515801600000,2018-01-13 00:00,1252.43,1279.86,1252.43,1278,8690.700115
1515816000000,2018-01-13 04:00,1277.99,1333.92,1269.15,1329.09,10256.037744
1515830400000,2018-01-13 08:00,1329.09,1338.99,1311.11,1338.86,6799.118883
1515844800000,2018-01-13 12:00,1338.86,1367.69,1335.05,1352.82,9656.108821
1515859200000,2018-01-13 16:00,1352.82,1418,1351.83,1384.17,21104.871516
1515873600000,2018-01-13 20:00,1384.16,1416.72,1367.7,1380,6834.221982
1515888000000,2018-01-14 00:00,1380.83,1386.82,1352.06,1375.2,8001.76641
1515902400000,2018-01-14 04:00,1375.2,1378.74,1313.8,1337.77,10615.736411
1515916800000,2018-01-14 08:00,1337.67,1357.99,1293.68,1302.79,8401.299642
1515931200000,2018-01-14 12:00,1302.79,1310,1199,1230.43,48715.391169
1515945600000,2018-01-14 16:00,1230.43,1307.08,1220,1294.13,9889.185189
1515960000000,2018-01-14 20:00,1294.13,1349.39,1291.71,1339.69,6511.329714
1515974400000,2018-01-15 00:00,1339.69,1376,1302,1317.18,11540.286773
1515988800000,2018-01-15 04:00,1315.25,1340.5,1304.2,1304.2,7330.017223
1516003200000,2018-01-15 08:00,1304.2,1327.31,1232,1300.25,9658.379619
1516017600000,2018-01-15 12:00,1300.24,1324.97,1273.87,1310.09,8915.405798
1516032000000,2018-01-15 16:00,1310.15,1317.08,1289.79,1302.44,4881.786079
1516046400000,2018-01-15 20:00,1302.44,1309.45,1270,1274.61,3572.833337
1516060800000,2018-01-16 00:00,1274.61,1277.74,1192.64,1221.08,17880.128386
1516075200000,2018-01-16 04:00,1221.03,1231.03,1141.83,1141.83,8872.50173
1516089600000,2018-01-16 08:00,1141.83,1159.65,982.64,1122.57,34485.322321
1516104000000,2018-01-16 12:00,1121.72,1131.72,1022.5,1116.54,19190.892301
1516118400000,2018-01-16 16:00,1115.93,1115.93,980.16,1040,14001.638442
1516132800000,2018-01-16 20:00,1036.74,1053.18,853,1012.47,17193.312355
1516147200000,2018-01-17 00:00,1012.47,1080.61,890.09,934.82,22966.550625
1516161600000,2018-01-17 04:00,934.18,986,900,961.82,18194.198842
