date,open,high,low,close,volume,vwap,returns,log_returns,abs_returns,dow,month,vol_7d,vol_30d,vol_90d,ema9,ema21,ma200,ma365,atr14,adx14,rsi2,rsi14,bb_mid,bb_std,bb_upper,bb_lower
2018-01-01,13863.14,13889.0,12952.5,13480.01,10291200000,13546.1625,,,,Monday,January,,,,13480.01,13480.01,,,,,,,,,,
2018-01-02,13480.0,15275.0,13005.0,14781.51,16846600192,14135.3775,0.09655037347895146,0.09216922806586685,0.09655037347895146,Tuesday,January,,,,13740.310000000001,13598.32818181818,,,,100.0,,,,,,
2018-01-03,14781.52,15400.0,14628.0,15098.14,16871900160,14976.915,0.021420680295856087,0.02119448203628394,0.021420680295856087,Wednesday,January,,,,14011.876000000002,13734.6747107438,,,,100.0,100.0,,,,,
2018-01-04,15098.23,15400.0,14230.0,15144.99,21783199744,14968.305,0.0031030312343109934,0.0030982267692613564,0.0031030312343109934,Thursday,January,,,,14238.498800000001,13862.885191585272,,,,96.67335339351388,100.0,,,,,
2018-01-05,15145.0,17178.0,14819.78,16960.01,23840899072,16025.6975,0.11984293155690429,0.11318843579116414,0.11984293155690429,Friday,January,,,,14782.801040000002,14144.441992350246,,,,95.34202724037196,100.0,,,,,
2018-01-06,16960.01,17174.0,16251.01,17098.99,18314600448,16871.0025,0.008194570639993959,0.008161177450538237,0.008194570639993959,Saturday,January,,,,15246.038832000004,14413.037265772951,,,,94.10579581245446,100.0,,,,,
2018-01-07,17099.0,17115.01,15755.01,16174.22,15866000384,16535.81,-0.05408331135347777,-0.055600780778231704,0.05408331135347777,Sunday,January,,,,15431.675065600004,14573.14478706632,,,,91.1013528932221,13.065099882491424,,,,,
2018-01-08,16174.22,16275.0,14000.0,14993.74,18413899776,15360.74,-0.07298528151589379,-0.07578583599744614,0.07298528151589379,Monday,January,1.3586488261898626,,,15344.088052480003,14611.380715514835,,,,84.75868705578453,0.0,,,,,
2018-01-09,14993.73,15384.0,14230.0,14480.99,16659999744,14772.18,-0.03419760513387582,-0.03479602587490205,0.03419760513387582,Tuesday,January,1.2160446846223554,,,15171.468441984003,14599.527014104395,,,,78.86906877816394,0.0,,,,,
2018-01-10,14481.0,14875.18,13550.01,14875.18,18500800512,14445.3425,0.02722120518003268,0.026857297412632205,0.02722120518003268,Wednesday,January,1.2233208618135278,,,15112.210753587204,14624.586376458541,,,,74.36588280358819,43.46373519747727,,,,,
2018-01-11,14875.17,14970.0,12800.01,13308.06,16534099968,13988.31,-0.10535133020239085,-0.11132418548647237,0.10535133020239085,Thursday,January,1.4364595360946568,,,14751.380602869765,14504.902160416856,,,,71.03318025171065,20.098301645328903,,,,,
2018-01-12,13308.06,14080.83,12900.0,13820.0,12065699840,13527.2225,0.03846841688420399,0.03774695162718116,0.03846841688420399,Friday,January,1.0318338706043715,,,14565.104482295814,14442.638327651686,,,,67.93852788211007,24.623627985724326,,,,,
2018-01-13,13820.0,14500.0,13792.25,14187.95,12763599872,14075.05,0.026624457308249028,0.026276194460764637,0.026624457308249028,Saturday,January,1.078195158429112,,,14489.673585836652,14419.484843319715,,,,64.30016588383728,100.0,,,,,
2018-01-14,14187.94,14332.85,13110.0,13656.23,11084099584,13821.755,-0.03747687298024038,-0.03819718503638975,0.03747687298024038,Sunday,January,1.0573183093332077,,,14322.984868669322,14350.098039381559,,,1416.092857142857,61.68125828207287,40.898329387442054,,,,,
2018-01-15,13656.23,14253.0,13416.0,13590.0,12750799872,13728.8075,-0.0048498011530268,-0.004861599600846325,0.0048498011530268,Monday,January,0.9704183957780945,,,14176.387894935458,14280.998217619599,,,1408.985714285714,59.249415509005914,0.0,50.56835739081636,,,,
2018-01-16,13590.0,13643.66,9928.62,11570.01,18853799936,12183.0725,-0.14863796909492277,-0.1609178226536056,0.14863796909492277,Tuesday,January,1.3865834197540488,,,13655.112315948369,14034.544743290546,,,1512.2028571428568,59.222533001499606,0.0,34.552104838849345,,,,
2018-01-17,11570.01,12358.89,9005.0,11200.01,18830600192,11033.4775,-0.031979229058574754,-0.03250173435165371,0.031979229058574754,Wednesday,January,1.303603361464432,,,13164.091852758696,13776.85976662777,,,1696.623571428571,59.519605306502896,0.0,31.345072114349293,,,,
2018-01-18,11204.64,12123.1,10687.21,11305.53,15020399616,11330.12,0.009421420159446248,0.009377315383876584,0.009421420159446248,Thursday,January,1.2000717407263732,,,12792.379482206958,13552.193424207064,,,1715.615714285714,59.795458161148815,22.190444145356736,31.728446528202127,,,,
