timestamp,date,open,high,low,close,volume
1515657600000,2018-01-11 08:00,13356.7,13554.5,13133.5,13463.5,399.17926723
1515672000000,2018-01-11 12:00,13467,14284,13454.9,13983.5,1812.69313197
1515686400000,2018-01-11 16:00,13982.4,14155.8,13300,13392,1619.1222938
1515700800000,2018-01-11 20:00,13392,13545.4,12910.1,13288.5,1408.87598153
1515715200000,2018-01-12 00:00,13288.1,13750,12767.9,13693,1866.00502734
1515729600000,2018-01-12 04:00,13714.6,13849.5,13379.4,13674.8,1327.39135497
1515744000000,2018-01-12 08:00,13674.8,14062.9,13334,13867.8,1607.77805178
1515758400000,2018-01-12 12:00,13867.8,13965,13383.8,13383.8,1661.80373449
1515772800000,2018-01-12 16:00,13383.8,13703.1,13234.1,13665.4,1862.34631736
1515787200000,2018-01-12 20:00,13665.4,13850,13499.8,13739.5,941.89191427
1515801600000,2018-01-13 00:00,13739.5,14215,13727,14024.2,1905.64929867
1515816000000,2018-01-13 04:00,14024.2,14800,13900,14274,1903.33067066
1515830400000,2018-01-13 08:00,14273.3,14285.4,14018.8,14214.1,1362.25999218
1515844800000,2018-01-13 12:00,14214.1,14570,14122.1,14274.6,1687.33070582
1515859200000,2018-01-13 16:00,14274.6,14357.8,14000,14060.2,2936.53446172
1515873600000,2018-01-13 20:00,14060.2,14361.5,14035,14187.2,977.39927133
1515888000000,2018-01-14 00:00,14187.2,14347.9,14121.8,14203.7,1249.0917962
1515902400000,2018-01-14 04:00,14203.7,14233.9,13469.8,13678.1,1706.37556679
1515916800000,2018-01-14 08:00,13678.1,13748.9,12850,13289.7,1480.80355685
1515931200000,2018-01-14 12:00,13289.7,13409.3,12559.5,12649.7,3359.52767523
1515945600000,2018-01-14 16:00,12645.3,13365,12504,13136,2864.95907219
1515960000000,2018-01-14 20:00,13136,13574.5,13107.6,13446.2,2057.44585356
1515974400000,2018-01-15 00:00,13446.2,13672,13260.1,13368,1880.5701597
1515988800000,2018-01-15 04:00,13368,13728.8,13354.2,13399.1,1547.52709378
1516003200000,2018-01-15 08:00,13399.1,13792,13218.5,13751.6,2658.50360412
1516017600000,2018-01-15 12:00,13751.6,14198.3,13538.8,13938.5,2360.85281877
1516032000000,2018-01-15 16:00,13939.4,14027.7,13683.1,13777.4,992.30463485
1516046400000,2018-01-15 20:00,13777.4,13853.3,13427.4,13546.8,638.05225586
1516060800000,2018-01-16 00:00,13546.8,13577.2,12624.9,12851.1,2939.78095767
1516075200000,2018-01-16 04:00,12851.1,13100.8,12358.4,12431.4,1331.75108767
1516089600000,2018-01-16 08:00,12431.4,12525.8,11006.1,12042.2,5276.77145193
1516104000000,2018-01-16 12:00,12042.2,12080.3,11269.7,11935,3939.36439345
1516118400000,2018-01-16 16:00,11933.1,11933.1,10770.4,11182.2,3101.42666581
1516132800000,2018-01-16 20:00,11182.2,11355,10000,10973.5,3576.66695382
1516147200000,2018-01-17 00:00,10973.5,11427.7,10000,10459.7,3828.3166629
1516161600000,2018-01-17 04:00,10459.7,11063.8,10149,10741.2,2983.86611924
1516176000000,2018-01-17 08:00,10741.2,10753.2,9700,9943.7,3536.7452749
1516190400000,2018-01-17 12:00,9937.4,10499.9,9150,9407,4207.72514276
1516204800000,2018-01-17 16:00,9407,10545.1,9407,10370.1,2924.0247315
1516219200000,2018-01-17 20:00,10380.1,11460.1,10286.6,11000.2,2831.35122881
1516233600000,2018-01-18 00:00,11000.4,11621.4,10759.1,11070.3,2864.57527063
1516248000000,2018-01-18 04:00,11070.3,11318.5,10500.6,10557.6,2572.20325998
1516262400000,2018-01-18 08:00,10557.8,11503.5,10500.5,11399,2933.33127285
1516276800000,2018-01-18 12:00,11398.9,11808.9,11250,11596.5,3398.65188978
1516291200000,2018-01-18 16:00,11595.3,11599,10984.3,11598.2,2086.86736607
1516305600000,2018-01-18 20:00,11598.2,11770.5,10824,11047.2,1923.39069729
