date,close,volume
2009-01-02,69.533195,3464200
2009-01-05,67.740341,5395200
2009-01-06,67.059029,4109300
2009-01-07,67.321999,2565600
2009-01-08,67.268173,2603600
2009-01-09,67.369766,2727900
2009-01-12,68.069061,2462800
2009-01-13,68.140701,1767400
2009-01-14,69.264267,2494800
2009-01-15,69.377769,2827200
2009-01-16,68.308052,2994800
2009-01-20,68.296082,3268300
2009-01-21,66.13868,2838100
2009-01-22,64.865791,4016600
2009-01-23,64.357803,2676200
2009-01-26,63.796059,2240900
2009-01-27,65.296082,3420800
2009-01-28,63.664562,4348100
2009-01-29,62.200356,3724400
2009-01-30,62.003193,2630000
2009-02-02,63.156708,2700200
2009-02-03,61.652611,2846400
2009-02-04,61.436794,2305400
2009-02-05,61.490788,2279500
2009-02-06,61.299038,1667500
2009-02-09,61.496773,2257300
2009-02-10,62.833118,3782800
2009-02-11,63.648159,2774200
2009-02-12,63.048889,1818400
2009-02-13,61.37093,2466800
2009-02-17,63.282562,2813900
2009-02-18,62.743221,2768600
2009-02-19,61.676556,3219400
2009-02-20,62.275826,4272000
2009-02-23,62.851097,2688700
2009-02-24,62.785149,4197100
2009-02-25,62.060101,3908100
2009-02-26,61.406864,2611100
2009-02-27,61.053318,3267700
2009-03-02,62.064056,3302000
2009-03-03,61.649467,3084900
2009-03-04,61.367043,3178400
2009-03-05,63.073616,4562400
2009-03-06,62.65303,3125900
2009-03-09,62.286476,2070500
2009-03-10,61.090603,2602600
2009-03-11,61.751602,3101500
2009-03-12,62.046078,3558900
2009-03-13,61.73357,2504000
2009-03-16,60.760105,3265600
2009-03-17,60.42952,3076200
2009-03-18,62.719105,8578800
2009-03-19,62.797211,3650900
2009-03-20,62.448685,3479700
2009-03-23,61.907829,2097000
2009-03-24,62.496719,5477100
2009-03-25,61.655457,2549600
2009-03-26,62.370579,2385300
2009-03-27,62.833286,1853900
2009-03-30,63.073616,2300100
2009-03-31,63.524387,1094600
2009-04-01,64.104111,2383400
2009-04-02,63.320641,1766300
2009-04-03,62.024971,3316800
2009-04-06,61.759769,1418100
2009-04-07,61.916477,1312600
2009-04-08,62.464935,1007800
2009-04-09,61.681438,1088800
2009-04-13,62.247963,946600
2009-04-14,62.573368,1336000
2009-04-15,62.464935,1152500
2009-04-16,61.970745,1055600
2009-04-17,61.289734,2582800
2009-04-20,62.217815,1714400
2009-04-21,61.60313,909100
2009-04-22,61.229424,2278100
2009-04-23,61.223415,1688300
2009-04-24,60.608761,2830000
2009-04-27,60.867821,2294600
2009-04-28,59.873539,2332500
2009-04-29,59.343204,3752600
2009-04-30,59.108112,2778100
2009-05-01,58.70129,2772200
2009-05-04,58.894722,2246700
2009-05-05,58.822197,1369000
2009-05-06,58.683159,2045900
2009-05-07,57.250576,5755200
2009-05-08,57.389568,2193400
2009-05-11,58.205647,2167400
2009-05-12,58.417156,2304800
2009-05-13,59.051907,1917500
2009-05-14,59.281574,1704600
2009-05-15,59.263428,2306600
2009-05-18,58.34465,2234700
2009-05-19,58.036385,1624300
2009-05-20,58.646893,2825700
2009-05-21,57.171974,4771700
2009-05-22,56.537258,4483400
2009-05-26,55.68494,3633100
2009-05-27,54.699642,7490200
2009-05-28,55.491508,9824300
2009-05-29,56.92411,4746700
2009-06-01,55.241207,6987000
2009-06-02,55.538387,5063600
2009-06-03,56.059921,6727200
2009-06-04,54.901596,5438600
2009-06-05,54.483185,8439600
2009-06-08,54.343674,4084000
2009-06-09,54.337605,6046300
2009-06-10,53.482536,12142000
2009-06-11,54.076866,10692800
2009-06-12,54.562054,6606800
2009-06-15,55.053261,4518700
2009-06-16,56.011444,5376000
2009-06-17,55.696041,7197200
2009-06-18,54.853077,6794000
2009-06-19,55.605087,4750700
2009-06-22,56.144852,3952300
2009-06-23,56.805882,5356900
2009-06-24,56.235813,6550400
2009-06-25,57.26675,7140000
2009-06-26,57.363796,4050400
2009-06-29,57.448692,4334900
2009-06-30,57.351658,3743700
2009-07-01,57.237869,3379900
2009-07-02,57.371719,2645100
2009-07-06,57.262268,1886700
2009-07-07,57.645519,2592400
2009-07-08,58.710213,7912900
2009-07-09,58.010567,5241400
2009-07-10,58.545971,3981900
2009-07-13,58.217426,2604300
2009-07-14,57.250076,3629100
2009-07-15,55.777748,4664200
2009-07-16,56.38002,4225200
2009-07-17,55.510059,3845700
2009-07-20,55.802052,4436500
2009-07-21,56.91544,3895300
2009-07-22,56.404408,1986700
2009-07-23,55.370117,3818800
2009-07-24,55.637825,1765300
2009-07-27,54.999001,2755900
2009-07-28,55.485725,3324800
2009-07-29,55.789921,2910200
2009-07-30,56.580803,4040700
2009-07-31,57.681992,5697000
2009-08-03,56.80785,4029300
2009-08-04,56.356102,3832200
2009-08-05,55.513763,4458300
2009-08-06,55.702988,3228500
2009-08-07,55.239029,3543200
2009-08-10,55.928825,3150100
2009-08-11,56.575935,3677800
2009-08-12,55.971527,4729200
2009-08-13,56.765156,3922300
2009-08-14,56.984905,4410400
2009-08-17,57.827297,3569700
2009-08-18,57.491566,2557900
2009-08-19,57.967735,3518200
2009-08-20,58.44381,3282700
2009-08-21,57.241314,6258300
2009-08-24,58.279057,4460200
2009-08-25,58.608692,3359700
2009-08-26,58.877285,3225800
2009-08-27,58.64529,2514000
2009-08-28,58.913891,2072500
2009-08-31,58.968842,2899800
2009-09-01,58.826111,3304200
2009-09-02,59.683517,4345000
2009-09-03,59.316059,2703800
2009-09-04,58.305641,3643000
2009-09-08,57.895321,2468900
2009-09-09,57.827957,3182400
2009-09-10,58.893501,4417300
2009-09-11,59.218067,4826200
2009-09-14,58.63015,2119500
2009-09-15,58.33012,2187900
2009-09-16,58.434223,3732300
2009-09-17,59.169106,2832000
2009-09-18,58.642406,2813300
2009-09-21,58.777184,3050200
2009-09-22,58.899628,2068000
2009-09-23,59.077244,5712000
2009-09-24,59.248692,4658400
2009-09-25,60.00193,3854500
2009-09-28,60.528606,4263300
2009-09-29,60.473495,3123200
2009-09-30,60.418369,2744800
2009-10-01,61.245842,5754400
2009-10-02,60.82193,4827700
2009-10-05,60.828106,2910100
2009-10-06,60.226082,3936200
2009-10-07,60.93256,3591000
2009-10-08,60.293667,5871600
2009-10-09,58.911514,8135900
2009-10-12,59.003605,1939700
2009-10-13,59.31081,2886500
2009-10-14,58.432331,5421000
2009-10-15,58.162064,3736900
2009-10-16,58.635052,3716800
2009-10-19,59.095818,3163800
2009-10-20,59.415215,2912400
2009-10-21,59.058918,3355200
2009-10-22,58.770218,2572200
2009-10-23,58.3279,2996200
2009-10-26,57.572281,4127400
2009-10-27,58.358643,4476300
2009-10-28,58.635052,4585400
2009-10-29,57.99617,4645300
2009-10-30,58.837761,5118000
2009-11-02,58.57774,3463800
2009-11-03,57.992203,4470700
2009-11-04,57.462246,5349500
2009-11-05,57.462246,2852000
2009-11-06,57.517723,3381100
2009-11-09,57.585499,1697800
2009-11-10,57.480682,2549900
2009-11-11,57.721077,1771100
2009-11-12,57.616283,3431300
2009-11-13,57.881294,1594200
2009-11-16,58.559231,5175700
2009-11-17,58.873512,3174400
2009-11-18,58.528397,2413600
2009-11-19,58.633167,2969800
2009-11-20,58.620838,4136300
2009-11-23,58.546864,3219300
2009-11-24,58.916676,2895200
2009-11-25,59.187798,2789300
2009-11-27,59.409679,2249100
2009-11-30,59.551449,3115800
2009-12-01,58.888081,3979100
2009-12-02,58.937481,2193900
2009-12-03,58.325417,3947300
2009-12-04,57.707176,6108100
2009-12-07,57.781384,2774200
2009-12-08,57.867886,2378600
2009-12-09,57.602112,3494300
2009-12-10,56.940536,4446300
2009-12-11,56.934414,3053400
2009-12-14,57.002411,2380400
2009-12-15,56.748913,2993900
2009-12-16,56.680954,3301600
2009-12-17,57.614456,4428900
2009-12-18,57.367157,3789500
2009-12-21,56.347034,3524000
2009-12-22,56.031715,3078800
2009-12-23,56.044121,2336000
2009-12-24,55.462978,1698900
2009-12-28,55.308399,3170900
2009-12-29,55.673222,2617000
2009-12-30,56.039246,1919100
2009-12-31,55.772518,3242400
2010-01-04,55.722874,2829100
2010-01-05,56.082745,2841600
2010-01-06,55.331936,4099600
2010-01-07,55.425064,2793200
2010-01-08,55.400219,2910700
2010-01-11,55.09618,2181300
2010-01-12,56.039246,4321200
2010-01-13,55.387806,4755000
2010-01-14,56.163414,4188800
2010-01-15,56.510849,4142800
2010-01-19,56.34948,2496000
2010-01-20,56.9203,2800500
2010-01-21,57.180908,4363100
2010-01-22,57.081638,3666900
2010-01-25,56.821064,2419500
2010-01-26,56.839634,3138100
2010-01-27,56.808647,3325700
2010-01-28,56.777615,3058200
2010-01-29,57.274002,4930600
2010-02-01,56.754097,3598500
2010-02-02,56.915955,3047500
2010-02-03,56.255951,5343700
2010-02-04,57.146336,6095000
2010-02-05,57.270897,6875800
2010-02-08,57.345604,3386000
2010-02-09,56.772755,4790000
2010-02-10,56.231068,5068000
2010-02-11,55.925945,5087500
2010-02-12,56.156334,2833800
2010-02-16,56.262226,2440900
2010-02-17,55.620895,4368200
2010-02-18,55.396702,5121800
2010-02-19,55.69561,3502500
2010-02-22,55.46521,3382600
2010-02-23,56.330666,5474500
2010-02-24,56.467655,4423200
2010-02-25,56.785263,3707700
2010-02-26,57.077831,4349100
2010-03-01,57.052849,2415200
2010-03-02,56.977894,2260600
2010-03-03,56.834255,2156100
2010-03-04,57.134048,2374700
2010-03-05,56.384499,3823200
2010-03-08,56.090942,2850400
2010-03-09,56.103439,2573700
2010-03-10,55.959759,3216200
2010-03-11,56.165939,2621000
2010-03-12,56.515709,3099100
2010-03-15,56.440666,1936800
2010-03-16,56.890461,3932600
2010-03-17,57.134048,3481200
2010-03-18,56.946732,2750300
2010-03-19,57.002892,2976300
2010-03-22,57.065372,2452300
2010-03-23,56.796753,2910000
2010-03-24,55.759918,8049300
2010-03-25,55.40387,8268400
2010-03-26,55.560024,4110700
2010-03-29,55.347626,3245100
2010-03-30,55.522572,3254600
2010-03-31,55.903553,4263900
2010-04-01,55.766903,2912400
2010-04-05,54.839024,5652000
2010-04-06,54.926777,3584600
2010-04-07,55.628941,6389900
2010-04-08,55.654068,3797600
2010-04-09,55.785702,2311300
2010-04-12,56.080322,2939600
2010-04-13,56.262215,3090900
2010-04-14,55.867199,3570100
2010-04-15,55.929913,3698000
2010-04-16,56.337444,8303900
2010-04-19,56.199474,3211500
2010-04-20,56.400063,2285000
2010-04-21,56.864033,4162200
2010-04-22,56.694809,2841400
2010-04-23,56.494106,4776000
2010-04-26,56.556862,4753900
2010-04-27,57.353043,13199200
2010-04-28,56.864033,8379500
2010-04-29,57.102291,4067200
2010-04-30,57.760601,6924800
2010-05-03,57.685108,4211800
