don,adx_veto,stop_n,max_units_strong,pyramid_step_n,BTC_tr_mar,BTC_va_mar,BTC_va_cagr,BTC_va_dd,BTC_win,ETH_tr_mar,ETH_va_mar,ETH_va_cagr,ETH_va_dd,ETH_win,mean_tr_mar,mean_va_mar
20/10-55/20,15.0,1.5,2,0.5,0.95,0.52,0.111,-0.214,0.389,1.11,0.49,0.128,-0.259,0.294,1.03,0.505
30/15-70/25,20.0,2.0,4,1.0,1.62,0.18,0.047,-0.258,0.312,0.43,0.03,0.013,-0.409,0.125,1.0250000000000001,0.105
30/15-70/25,20.0,2.0,2,0.5,1.63,0.07,0.02,-0.274,0.312,0.41,0.21,0.068,-0.331,0.214,1.02,0.14
30/15-70/25,20.0,2.5,2,1.0,1.61,0.07,0.014,-0.214,0.333,0.43,0.21,0.064,-0.306,0.231,1.02,0.14
30/15-70/25,25.0,2.5,2,1.0,1.45,-0.1,-0.024,-0.243,0.25,0.57,0.1,0.028,-0.288,0.375,1.01,0.0
30/15-70/25,20.0,2.5,2,0.5,1.62,0.01,0.002,-0.272,0.333,0.39,0.18,0.061,-0.33,0.231,1.0050000000000001,0.095
30/15-70/25,25.0,2.0,2,0.5,1.46,-0.08,-0.02,-0.244,0.25,0.55,0.24,0.059,-0.245,0.375,1.005,0.07999999999999999
30/15-70/25,25.0,2.5,2,0.5,1.44,-0.1,-0.025,-0.257,0.25,0.55,0.14,0.038,-0.281,0.375,0.995,0.020000000000000004
30/15-70/25,25.0,1.5,2,0.5,1.52,-0.02,-0.006,-0.22,0.25,0.47,0.28,0.065,-0.231,0.375,0.995,0.13
30/15-70/25,25.0,2.0,4,0.5,1.19,-0.07,-0.02,-0.307,0.25,0.79,-0.14,-0.052,-0.376,0.182,0.99,-0.10500000000000001
30/15-70/25,25.0,2.5,4,0.5,1.17,-0.08,-0.025,-0.319,0.25,0.79,-0.03,-0.011,-0.425,0.2,0.98,-0.055
30/15-70/25,25.0,2.0,4,1.0,1.41,-0.06,-0.02,-0.307,0.231,0.55,-0.18,-0.067,-0.373,0.182,0.98,-0.12
20/10-55/20,15.0,2.5,4,0.5,0.97,0.51,0.113,-0.221,0.389,0.95,0.38,0.151,-0.394,0.235,0.96,0.445
20/10-55/20,15.0,2.0,2,1.0,1.02,0.4,0.075,-0.187,0.368,0.9,0.59,0.14,-0.238,0.312,0.96,0.495
