top_n,tier_cutoff,trailing_stop,atr_stop_mult,rsi_hi,use_regime,train_cagr,train_dd,train_mar,train_win,val_cagr,val_dd,val_mar,val_win,val_sharpe
12,70.0,0.2,3.0,80.0,True,0.07097990214773375,-0.10688103832893381,0.6641019142168902,0.4658385093167702,0.3414471083277464,-0.22819368359866976,1.4963039420856994,0.49521988527724664,1.2377413524533991
12,70.0,0.25,3.0,80.0,True,0.07097990214773375,-0.10688103832893381,0.6641019142168902,0.4658385093167702,0.3476424338188051,-0.22819368359867032,1.5234533591657697,0.49808429118773945,1.2528576126237478
12,70.0,0.3,3.0,80.0,True,0.07097990214773375,-0.10688103832893381,0.6641019142168902,0.4658385093167702,0.36887029791180015,-0.2297335861834242,1.6056437547502793,0.5009596928982726,1.2989384935346135
8,70.0,0.2,3.0,80.0,True,0.06923890782809217,-0.1061554861077929,0.6522405046290802,0.4551282051282051,0.3102400714720259,-0.22417689920980255,1.3839074077908384,0.5041322314049587,1.1527424282996401
8,70.0,0.25,3.0,80.0,True,0.06923890782809217,-0.1061554861077929,0.6522405046290802,0.4551282051282051,0.3154830787703633,-0.22871246466179096,1.379387342254759,0.5072463768115942,1.1654022742079448
8,70.0,0.3,3.0,80.0,True,0.06923890782809217,-0.1061554861077929,0.6522405046290802,0.4551282051282051,0.33817913382164955,-0.21336678466212378,1.5849661621754854,0.5103734439834025,1.2155987626582456
8,70.0,0.2,2.5,80.0,True,0.056115663403940585,-0.10238090990335946,0.5481067071674779,0.440625,0.30315751826129844,-0.21144356761392136,1.433751433927937,0.4887525562372188,1.1433294675511436
8,70.0,0.25,2.5,80.0,True,0.056115663403940585,-0.10238090990335946,0.5481067071674779,0.440625,0.3093999113810413,-0.21605357382276025,1.432051809681509,0.4918032786885246,1.1594034618275755
8,70.0,0.3,2.5,80.0,True,0.056115663403940585,-0.10238090990335946,0.5481067071674779,0.440625,0.33205919613135415,-0.20724232335742987,1.6022750119368872,0.4948665297741273,1.2112851228870274
12,70.0,0.2,2.5,80.0,True,0.055531225465028866,-0.10376330969819925,0.5351720721567594,0.4484848484848485,0.32688903245592904,-0.2217592561380617,1.4740716493584205,0.4782608695652174,1.2099742781231935
12,70.0,0.25,2.5,80.0,True,0.055531225465028866,-0.10376330969819925,0.5351720721567594,0.4484848484848485,0.33408926050460575,-0.22175925613806158,1.5065403190954538,0.4810606060606061,1.2287606413951244
12,70.0,0.3,2.5,80.0,True,0.055531225465028866,-0.10376330969819925,0.5351720721567594,0.4484848484848485,0.355142831262111,-0.22331199664765178,1.590343719072405,0.4838709677419355,1.2762848697639373
12,70.0,0.2,2.0,80.0,True,0.05407163196768949,-0.1103206166364501,0.4901317053536496,0.4365781710914454,0.26559200586579657,-0.2496670999405889,1.063784559235066,0.44363636363636366,1.0448631478142085
12,70.0,0.25,2.0,80.0,True,0.05407163196768949,-0.1103206166364501,0.4901317053536496,0.4365781710914454,0.27358617457567536,-0.24966709994058844,1.0958038709977356,0.44626593806921677,1.0677817824298201
12,70.0,0.3,2.0,80.0,True,0.05407163196768949,-0.1103206166364501,0.4901317053536496,0.4365781710914454,0.28397960976195424,-0.2511643282967989,1.1306526356178166,0.4470802919708029,1.0911003186595372
8,70.0,0.2,2.0,80.0,True,0.054589427504446064,-0.11155188419588058,0.4893635629550573,0.42813455657492355,0.24281177305967128,-0.22065932489845141,1.1003920780207885,0.4470588235294118,0.9789440017367225
8,70.0,0.25,2.0,80.0,True,0.054589427504446064,-0.11155188419588058,0.4893635629550573,0.42813455657492355,0.24986761171848437,-0.2252154545595253,1.1094603263669165,0.449901768172888,0.9992272525735758
8,70.0,0.3,2.0,80.0,True,0.054589427504446064,-0.11155188419588058,0.4893635629550573,0.42813455657492355,0.2619673578848478,-0.22676147418800663,1.1552551368035833,0.4507874015748031,1.0276747450100352
12,60.0,0.2,3.0,80.0,True,0.05889339285855555,-0.13509235604548664,0.43594911349925447,0.4642857142857143,0.523704572754758,-0.25669038834548497,2.040218864953732,0.49581239530988275,1.6019034838656194
12,60.0,0.25,3.0,80.0,True,0.05889339285855555,-0.13509235604548664,0.43594911349925447,0.4642857142857143,0.5402851323651465,-0.2566903883454844,2.1048124779723603,0.49747899159663866,1.6333946568147497
12,60.0,0.3,3.0,80.0,True,0.05889339285855555,-0.13509235604548664,0.43594911349925447,0.4642857142857143,0.5798993703844781,-0.23044537319802294,2.516428784561309,0.5008460236886633,1.705655532622086
12,60.0,0.2,3.0,70.0,True,0.05924472266241576,-0.13873401416008013,0.42703819262416376,0.4416243654822335,0.4414132023247146,-0.2535022612246203,1.7412594277949751,0.48635634028892455,1.4113827405821942
12,60.0,0.25,3.0,70.0,True,0.05924472266241576,-0.13873401416008013,0.42703819262416376,0.4416243654822335,0.4573384606071298,-0.2535022612246207,1.8040803991168188,0.48792270531400966,1.4454239636371928
12,60.0,0.3,3.0,70.0,True,0.05924472266241576,-0.13873401416008013,0.42703819262416376,0.4416243654822335,0.48007936355964853,-0.2535022612246207,1.893787302884311,0.49029126213592233,1.4877885424730757
8,60.0,0.2,2.0,80.0,True,0.0534040150330235,-0.135660550797296,0.39365913465012964,0.42349726775956287,0.3510745010717835,-0.24472418531914986,1.4345721515588663,0.45098039215686275,1.227847855214742
8,60.0,0.25,2.0,80.0,True,0.0534040150330235,-0.135660550797296,0.39365913465012964,0.42349726775956287,0.36218269224999267,-0.24472418531914997,1.4799628070174697,0.45357142857142857,1.2550318337518291
8,60.0,0.3,2.0,80.0,True,0.0534040150330235,-0.135660550797296,0.39365913465012964,0.42349726775956287,0.37544964138864256,-0.2447241853191503,1.5341746501229956,0.4551971326164875,1.279951475139472
12,70.0,0.2,3.0,70.0,True,0.04268119391310643,-0.10996421701718062,0.3881371146983022,0.45794392523364486,0.2754185981454258,-0.2638631349355951,1.0437933977122313,0.47093023255813954,1.0808714229086087
12,70.0,0.25,3.0,70.0,True,0.04268119391310643,-0.10996421701718062,0.3881371146983022,0.45794392523364486,0.27770190245506243,-0.2668241973135874,1.0407673114020124,0.47184466019417476,1.08582810816837
12,70.0,0.3,3.0,70.0,True,0.04268119391310643,-0.10996421701718062,0.3881371146983022,0.45794392523364486,0.29978775805413616,-0.25791591041855766,1.1623468965820176,0.47470817120622566,1.1411334551337522
8,60.0,0.2,3.0,80.0,True,0.06157101053491543,-0.15888844508041688,0.3875109389090755,0.45930232558139533,0.4555875417738553,-0.24720488802304075,1.8429552320639884,0.5131578947368421,1.4601062379663565
8,60.0,0.25,3.0,80.0,True,0.06157101053491543,-0.15888844508041688,0.3875109389090755,0.45930232558139533,0.46490045523959633,-0.24720488802304041,1.880628085300101,0.5160075329566854,1.47836931770266
8,60.0,0.3,3.0,80.0,True,0.06157101053491543,-0.15888844508041688,0.3875109389090755,0.45930232558139533,0.49032333129615147,-0.24720488802304041,1.983469401504923,0.5208333333333334,1.522367376368128
12,50.0,0.3,3.0,80.0,True,0.06240749390306011,-0.16128819847882347,0.38693155786753963,0.4282178217821782,0.6595473268276169,-0.21267114671481946,3.101254387423012,0.5,1.7713278721490149
12,70.0,0.2,3.0,80.0,False,0.05887423266637892,-0.1551281106950032,0.37952007797046744,0.4474393530997305,0.37010454144112415,-0.19756431349673043,1.8733370156308577,0.5037735849056604,1.2701453702719216
12,70.0,0.25,3.0,80.0,False,0.05887423266637892,-0.1551281106950032,0.37952007797046744,0.4474393530997305,0.38097854439589174,-0.19756431349673065,1.9283773352225186,0.5066162570888468,1.2955918818837122
12,70.0,0.3,3.0,80.0,False,0.05887423266637892,-0.1551281106950032,0.37952007797046744,0.4474393530997305,0.40438609849978313,-0.19916532758729533,2.0304041039600045,0.509469696969697,1.3430890087462573
12,50.0,0.2,3.0,80.0,True,0.06042611250798835,-0.16128819847882403,0.37464683143523275,0.4282178217821782,0.5923018056093974,-0.2466981961921625,2.400916645324927,0.49838187702265374,1.6603414094806936
12,50.0,0.25,3.0,80.0,True,0.06042611250798835,-0.16128819847882403,0.37464683143523275,0.4282178217821782,0.6145519450101209,-0.23894495121491333,2.5719394441499492,0.5,1.6937054832909146
5,60.0,0.2,3.0,80.0,True,0.03773115806690175,-0.10147805567051094,0.37181593417015235,0.4626334519572954,0.3441846103898212,-0.15141183547320713,2.2731684700482075,0.5311778290993071,1.4773166527953199
5,60.0,0.25,3.0,80.0,True,0.03773115806690175,-0.10147805567051094,0.37181593417015235,0.4626334519572954,0.34116463065712277,-0.15141183547320736,2.253223003280299,0.5334872979214781,1.4657523665703105
5,60.0,0.3,3.0,80.0,True,0.03773115806690175,-0.10147805567051094,0.37181593417015235,0.4626334519572954,0.34602466717983127,-0.1514118354732077,2.2853211315905373,0.5347222222222222,1.4815881480439634
